,ID_GRUPO,TX_NOMBRE
465,536284,Santa Paws 2: The Santa Pups
466,536425,360
467,536492,Ice Age: Continental Drift
468,536520,Mary Poppins
469,536636,"Ghost Writer, The"
470,536650,Shrek 2 (DWA)
471,536652,War of the Worlds (2005)
472,536902,Mean Girls (2004)
473,536963,Chernobyl Diaries
474,536981,White Fang 2: Myth of the White Wolf
475,537020,Brave
476,537033,George of the Jungle
477,537038,"Best Exotic Marigold Hotel, The"
478,537089,King Kong (05)
479,537101,Boys Dont Cry
480,537125,Night at the Museum: Battle of the Smithsonian
481,537127,Biutiful
482,537594,Lilo & Stitch II: Stitch has a Glitch
483,537597,Scarface (1983)
484,537747,Twins
485,537749,Dantes Peak
486,537750,Heroes: Company Man
487,537751,Heroes
488,537761,"Money Pit, The"
489,537768,Happy Gilmore
490,537816,Heroes
491,537831,Heroes: Collision
492,537840,"Unbearable Lightness of Being, The"
493,537849,"Wrestler, The"
494,537878,Heroes: Five Years Gone
495,537879,Heroes
496,537885,Heroes
497,537886,Heroes: Landslide
498,537887,Heroes
499,537889,Heroes
500,537890,Heroes
501,537891,Heroes
502,537900,Heroes
503,537901,Heroes
504,537902,Heroes
505,537903,Heroes: The Hard Part
506,537904,Henry V
507,537906,Heroes: Better Halves
508,537907,Heroes
509,537908,Heroes
510,537909,Heroes: Six Months Ago
511,537910,Heroes
512,537927,Defiance
513,537930,Back to the Future II
514,537931,Forrest Gump
515,537933,Honey (03)
516,537943,Amadeus
517,538008,"Spongebob Squarepants Movie, The"
518,538030,Top Gun
519,538047,Babe (1995)
520,538048,Heroes: Fallout
521,538086,Camino
522,538124,"Bourne Supremacy, The"
523,538137,Sixteen Candles
524,538250,"Children of Men, The"
525,538265,Rear Window
526,538323,"Aristocats, The"
527,538340,American Gangster
528,538380,"Hills Have Eyes, The (2006)"
529,538480,"Sound of Music, The"
530,538511,Heroes
531,538600,Seabiscuit
532,538604,Miracle
533,538611,From Paris with Love
534,538702,Assault on Precinct 13 (05)
535,538760,Mamma Mia!
536,538854,Coraline
537,538860,Twelve Monkeys
538,539181,ParaNorman
539,539183,Jarhead
540,539186,"Constant Gardener, The"
541,539234,Taken 2
542,539235,Adventures of a Teenage Dragonslayer
543,539563,Facing Ali
544,539565,Angel-A
545,539566,I Now Pronounce You Chuck and Larry
546,539625,Ruby Sparks
547,539626,Back to the Future III
548,539642,Savages
549,539742,Problem Child 2
550,539747,"Crazies, The"
551,539761,Funny People
552,539804,Pride and Prejudice
553,539816,Revolver (2005)
554,539922,Rio
555,540141,Life of Pi
556,540180,Jaws
557,540241,White Fang
558,540268,Xanadu
559,540269,Beverly Hills Chihuahua
560,540380,"Libertine, The"
561,540384,Moonrise Kingdom
562,540386,Ted
563,540390,Paranormal Activity 4
564,540406,Its a Boy Girl Thing
565,540412,Karaoke - Bruno & Marrone - Ja Nao Sei Mais Nada
566,540457,Quadrophenia
567,540473,Then She Found me
568,540474,Visioneers
569,540522,"Day of the Jackal, The"
570,540542,"Proposal, The"
571,540562,Tooth Fairy
572,540564,"Emperors New Groove, The"
573,540567,Confessions of a Teenage Drama Queen
574,540676,"Last Temptation of Christ, The"
575,540688,Keep Your Distance
576,540689,"Land Before Time, The"
577,540709,Blackout (2008)
578,540710,"Birds, The"
579,540716,In Bruges
580,540858,"Other Boleyn Girl, The"
581,540945,He Was a Quiet Man
582,540946,Changeling
